1 int
2 return
3 =
4 ,
5 Semicolon
6 +
7 -
8 *
9 /
10 (
11 )
12 [
13 ]
14 {
15 }
16 if
17 else
18 >
19 <
20 >=
21 <=
22 ==
23 !=
24 &&
25 ||
51 id
52 IntConst
